DISTRICT,Kharif 2016-Yeild,Rabi 2016-Yeild,Year 2016-Yeild,2016-Kharif-Rain,Normal-Kharif-Rain,2016-Rabi-Rain,Normal-Rabi-Rain
ANANTHAPURAMU,3682,4066,3764,627.3,705.7,93.7,276
CHITTOOR,5143,5779,5467,790,692.7,105.4,245.8
EASTGODAVARI,5018,8161,6356,850.7,712.6,92.9,297.2
GUNTUR,6278,6175,6271,801.6,768,59.4,305.4
KRISHNA,5791,6209,5819,796.5,791.9,44.3,239.4
KURNOOL,6095,5746,6000,668.8,685.1,93.4,249.4
PRAKASAM,4989,5756,5386,653.9,525.8,66,228.9
S.P.S.NELLORE,5851,6618,6341,341.6,388.3,102.9,393.7
SRIKAKULAM,4463,4175,4459,160.4,331.3,197.6,661.4
VISAKHAPATNAM,3374,3152,3365,384.1,393.6,77.5,251
VIZIANAGARAM,4556,4562,4556,466.8,455.1,14.6,149.6
WESTGODAVARI,5330,7526,6257,257.4,338.4,26.5,155.3
Y.S.R.KADAPA,4959,4770,4937,342.2,439.4,158.1,395.4
ANDHRA PRADESH,5166,7095,5702,533.8,556,85.3,296
